City,Zone
"Albuquerque, New Mexico",7
"Oklahoma City, Oklahoma",7
"Anchorage, Alaska",4
"Omaha, Nebraska",5
"Atlanta, Georgia",8
"Orlando, Florida",9
"Baltimore, Maryland",7
"Panama City Beach, Florida",9
"Boston, Massachusetts",6
"Philadelphia, Pennsylvania",7
"Buffalo, New York",6
"Phoenix, Arizona",9
"Burlington, Vermont",5
"Pierre, South Dakota",4
"Charleston, South Carolina",8
"Pittsburgh, Pennsylvania",6
"Charleston, West Virginia",6
"Pocatello, Idaho",5
"Chicago, Illinois",6
"Portland, Maine",5
"Charlotte, North Carolina",7
"Portland, Oregon",8
"Chattanooga, Tennessee",7
"Providence, Rhode Island",6
"Columbus, Ohio",6
"Quad Cities, Iowa/Illinois",5
"Dallas, Texas",8
"Raleigh, North Carolina",7
"Denver, Colorado",5
"Reno, Nevada",6
"Detroit, Michigan",6
"Roanoke, Virginia",7
"Fairbanks, Alaska",2
"Sacramento, California",9
"Hartford, Connecticut",6
"Salt Lake City, Utah",7
"Honolulu, Hawaii",12
"San Antonio, Texas",8
"Houston, Texas",9
"San Diego, California",10
"Indianapolis, Indiana",5
"San Francisco, California",10
"Juneau, Alaska",6
"San Gabriel, California",10
"Kansas City, Missouri",6
"San Jose, California",9
"Las Vegas, Nevada",9
"San Juan, Puerto Rico",12
"Los Angeles, California",10
"Savannah, Georgia",8
"Memphis, Tennessee",7
"Seattle, Washington",8
"Miami, Florida",11
"Tampa, Florida",9
"Minneapolis, Minnesota",4
"Tucson, Arizona",9
"Nashville, Tennessee",7
"Tuscaloosa, Alabama",8
"New Orleans, Louisiana",9
"Utqiagvik, Alaska",2
"New York, New York",7
"Washington, D.C.",7
"Norfolk, Virginia",8
"Wichita, Kansas",6
"Alicante, Spain",10
"Almería, Spain",10
"Amsterdam, Netherlands",8
"Antwerp, Belgium",8
"Barcelona, Spain",10
"Belfast, Northern Ireland",9
"Berlin, Germany",7
"Bratislava, Slovakia",7
"Birmingham, England",8
"Bucharest, Romania",6
"Budapest, Hungary",7
"Cádiz, Spain",11
"Cardiff, Wales",9
"Belgrade, Serbia",8
"Copenhagen, Denmark",8
"Dublin, Ireland",9
"Düsseldorf, Germany",8
"Edinburgh, Scotland",8
"Gdańsk, Poland",7
"Glasgow, Scotland",8
"Hamburg, Germany",8
"Helsinki, Finland",6
"Istanbul, Turkey",8
"Kaliningrad, Russia",6
"Kyiv, Ukraine",6
"Kraków, Poland",6
"Lisbon, Portugal",10
"Las Palmas, Spain",12
"A Coruña, Spain",10
"Ljubljana, Slovenia",7
"London, England",9
"Madrid, Spain",9
"Málaga, Spain",10
"Manchester, England",8
"Marseille, France",9
"Milan, Italy",8
"Minsk, Belarus",5
"Moscow, Russia",5
"Munich, Germany",7
"Murmansk, Russia",5
"Nicosia, Cyprus",10
"Newcastle, England",8
"Oslo, Norway",6
"Simferopol, Ukraine",7
"Palma, Spain",10
"Paris, France",8
"Plymouth, England",9
"Portsmouth, England",9
"Poznań, Poland",7
"Prague, Czech Republic",7
"Reykjavík, Iceland",8
"Riga, Latvia",6
"Rome, Italy",9
"Rovaniemi, Finland",4
"Saint Petersburg, Russia",5
"Sarajevo, Bosnia and Herzegovina",7
"Santander, Spain",10
"Sicily (Catania, Italy)",10
"Simrishamn, Sweden",8
"Sochi, Russia",9
"Sofia, Bulgaria",7
"Stockholm, Sweden",6
"Strasbourg, France",8
"Tallinn, Estonia",6
"Tuapse, Russia",8
"Tórshavn, Faroe Islands",7
"Tromsø, Norway",7
"Trondheim, Norway",6
"Umeå, Sweden",5
"Valencia, Spain",10
"Valletta, Malta",11
"Vienna, Austria",8
"Vilnius, Lithuania",6
"Vorkuta, Russia",2
"Warsaw, Poland",6
"Wroclaw, Poland",7
"Zagreb, Croatia",8
"Zürich, Switzerland",8
"Zaragoza, Spain",9
